method,max_fluency_at_concept_70,max_fluency_at_concept_80,max_fluency_at_concept_90,max_fluency_at_concept_95
additive,99.55777428082214,88.73848477589445,63.35404116445115,18.007952171801033
gaussian,100.0,72.45697970502049,26.227749267225107,
gaussian_dpar,100.0,89.34275941745152,71.04532400223944,
gaussian_lambda05,100.0,71.23902978602008,53.571166292416585,9.654594357315172
mixed,70.14833028690795,70.14833028690795,,
mixed_dpar,83.14352990753089,73.00992233170618,,
norm_preserving,97.889846139603,86.66758133498429,,
