checkpoint,eval_corruption,noisy_mse,denoised_mse,relative_mse_improvement
gaussian,gaussian,8.790522969563803,2.819481384277344,0.6792589708212491
gaussian,structured,8.40752294921875,4.134059315999349,0.5082904511865178
mixed,gaussian,8.790522969563803,4.401392191569011,0.49930257769550956
mixed,structured,8.40752294921875,2.628521697998047,0.6873607465749116
