method,F@C50,F@C55,F@C60,F@C65,F@C70,F@C75
additive,98.41948397,91.95908155,88.15300862,84.34693570,63.74561556,57.52937111
jrr_orth,97.74137920,91.61517182,88.47146354,72.76755245,70.60985842,
