strength,kl_concept,additive_concept,delta_concept_vs_additive,kl_fluency,additive_fluency,delta_fluency_vs_additive,delta_nll_vs_additive,jrr_orth_concept,concept_gain_vs_full_jrr,jrr_orth_fluency,fluency_gain_vs_full_jrr
0.0,10.387037941720337,10.387037941720337,0.0,100.0,100.0,0.0,0.0,10.387037941720337,0.0,100.0,0.0
1.0,70.14537523966283,49.735385589301586,20.40998965036124,100.0,98.00682694875903,1.9931730512409729,-0.0740368664264679,48.290858909487724,21.8545163301751,99.10722778136208,0.8927722186379157
1.5,75.00117728114128,74.15179616212845,0.8493811190128326,97.56876403815086,83.12889828577588,14.439865752374985,-0.15052643418312073,47.088814289774746,27.912362991366535,94.61306154750032,2.9557024906505376
2.0,53.36405745148659,39.35708627663553,14.00697117485106,82.72324481873807,72.80621706328564,9.917027755452423,-0.12769928574562073,30.484080709517002,22.879976741969585,79.34453909599644,3.3787057227416284
2.25,61.1219247803092,37.012041877023876,24.109882903285325,91.94330998680246,87.90072272909131,4.042587257711148,-0.04496416449546814,82.22445011138916,-21.10252533107996,100.0,-8.056690013197539
3.0,18.185975443571806,53.63240961357951,-35.446434170007706,87.87669338469081,62.47847202416823,25.398221360522584,-0.3324732482433319,75.0977604240179,-56.9117849804461,72.07054525679705,15.806148127893763
4.0,51.64603979885578,83.49908828735352,-31.853048488497734,56.44864577208977,43.23876483117558,13.20988094091419,-0.266593873500824,86.04026179015636,-34.39422199130058,72.11160648781518,-15.662960715725411
